code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1786,338,2026-06-26,1.1976049,4,-9.866666666666667,435,,12.900763,,0.81835836,,,,,4.3413173,,,,328.4,,,440,310,65.78947368421052,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.951Z
1787,5300,2026-06-26,1.532567,0.3787878787878788,-1.6697588126159555,130,,10.952902,,1.3878175,,,,,0,,,,5246.4,,,6750,5080,62.903225806451616,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.952Z
1788,4515,2026-06-26,-0.22099447,0.6688963210702341,15.769230769230768,28,,8.703279,,0.7471027,,,,,1.54696135,,,,4538,,,6400,3805,39.53488372093023,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.953Z
1793,2014,2026-06-26,-2.4224806,8.982683982683982,67.1369294605809,512,,28.246843,,1.4334917,,,,,0.46429265999999997,,,,1894.04,,,2150,1192,59.3984962406015,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.953Z
1795,4920,2026-06-26,3.0366492,2.2869022869022873,21.033210332103323,43,,10.416666,,0.8017643,,,,,0,,,,4817.6,,,5000,4035,60.22727272727273,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.954Z
1798,1092,2026-06-26,3.409091,7.586206896551724,43.30708661417323,119,,4.3402224,,0.63502216,,,,,2.8409092,,,,1021.48,,,1510,762,76.4367816091954,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.954Z
1799,3300,2026-06-26,0.15174507,0.7633587786259541,10.036678892964321,584,,11.261261,,2.0397265,,,,,0.45523522,,,,3244.6,,,4510,2910,66.66666666666666,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.955Z
1801,14000,2026-06-26,2.152499,-0.07137758743754462,66.66666666666666,22821,,13.642566,,2.4071195,,,,,2.2619482,,,,13952,,,20680,8307,58.70020964360587,,,,,,,,,,,,,,,,,,ほぼ妥当,48,2026-06-28T11:20:38.956Z
1802,3202,2026-06-26,2.7269812,-1.325115562403698,49.24260079235609,22011,,12.836754,,1.7491102,,,,,2.8232275000000002,,,,3188.6,,,4439,2117,57.30211817168338,,,,,,,,,,,,,,,,,,ほぼ妥当,50,2026-06-28T11:20:38.956Z
1803,2556.5,2026-06-26,2.73257,-4.661570016781652,59.93118548639349,17364,,13.698961,,1.7754854,,,,,2.8933093,,,,2549.6,,,3618,1545.5,57.593805836807626,,,,,,,,,,,,,,,,,,ほぼ妥当,48,2026-06-28T11:20:38.957Z
