code,date,open,high,low,close,volume,adj_close
8316,2026-05-29,5850,5944,5819,5819,17617000,5819
8316,2026-06-01,5815,5939,5793,5861,10894000,5861
8316,2026-06-02,5880,5951,5794,5951,12902800,5951
8316,2026-06-03,6040,6156,6012,6148,15691600,6148
8316,2026-06-04,6116,6218,6005,6129,13395700,6129
8316,2026-06-05,6284,6408,6213,6230,14349800,6230
8316,2026-06-08,6136,6185,6028,6105,15126700,6105
8316,2026-06-09,6180,6254,6137,6182,15333300,6182
8316,2026-06-10,6258,6385,6207,6227,21813600,6227
8316,2026-06-11,6127,6233,6077,6203,16707100,6203
8316,2026-06-12,6350,6439,6309,6406,23960700,6406
8411,2026-05-15,7021,7132,6827,6912,10413100,6912
8411,2026-05-18,6512,6583,6379,6525,21432700,6525
8411,2026-05-19,6690,6908,6685,6886,13730800,6886
8411,2026-05-20,7090,7130,6844,6982,15514300,6982
8411,2026-05-21,7150,7413,7138,7301,16998300,7301
8411,2026-05-22,7378,7528,7302,7457,12090500,7457
8411,2026-05-25,7308,7396,7194,7304,11943500,7304
8411,2026-05-26,7300,7398,7213,7359,9138000,7359
8411,2026-05-27,7283,7313,7178,7217,10262300,7217
8411,2026-05-28,7130,7140,6996,7065,14467400,7065
8411,2026-05-29,7065,7286,7045,7195,16581900,7195
8411,2026-06-01,7108,7268,7065,7185,7629100,7185
8411,2026-06-02,7253,7346,7064,7346,10005100,7346
8411,2026-06-03,7500,7687,7389,7633,12383200,7633
8411,2026-06-04,7621,7796,7472,7645,11569200,7645
8411,2026-06-05,7822,7966,7698,7716,10044100,7716
8411,2026-06-08,7620,7686,7437,7562,9646600,7562
8411,2026-06-09,7661,7774,7610,7690,10302200,7690
8411,2026-06-10,7760,7855,7555,7614,12418200,7614
8411,2026-06-11,7411,7479,7322,7394,11181800,7394
8411,2026-06-12,7605,7706,7510,7563,13140500,7563
8604,2026-05-15,1270.5,1287.5,1256.5,1273,7345900,1273
8604,2026-05-18,1265,1273,1248,1248,6858500,1248
8604,2026-05-19,1267,1282,1256,1276,7838300,1276
8604,2026-05-20,1276,1278,1239.5,1250.5,8852000,1250.5
8604,2026-05-21,1270,1298.5,1263.5,1290.5,9575300,1290.5
8604,2026-05-22,1309.5,1312,1287,1287,8912800,1287
8604,2026-05-25,1293.5,1295,1264.5,1273,8148600,1273
8604,2026-05-26,1273.5,1275.5,1262,1269,5669700,1269
8604,2026-05-27,1251.5,1263.5,1247.5,1260,8483800,1260
8604,2026-05-28,1250,1256,1237,1250.5,11733700,1250.5
8604,2026-05-29,1265,1307.5,1260.5,1285,29233700,1285
8604,2026-06-01,1285.5,1301.5,1281,1298.5,11559600,1298.5
8604,2026-06-02,1296.5,1324,1285,1324,11946000,1324
8604,2026-06-03,1324,1354.5,1321.5,1350.5,13692100,1350.5
8604,2026-06-04,1355.5,1359.5,1336.5,1349.5,8917400,1349.5
8604,2026-06-05,1375.5,1386.5,1360.5,1361,11799500,1361
8604,2026-06-08,1331,1359.5,1328.5,1359.5,12836900,1359.5
8604,2026-06-09,1365,1416,1365,1399,15028400,1399
8604,2026-06-10,1414,1419,1377,1387,8660800,1387
8604,2026-06-11,1357,1365,1333.5,1352.5,7003100,1352.5
8604,2026-06-12,1375,1376,1351,1364.5,9797400,1364.5
8766,2026-05-15,7593,7687,7512,7568,7584600,7568
8766,2026-05-18,7706,7769,7592,7627,5383800,7627
8766,2026-05-19,7800,7962,7795,7949,7192800,7949
8766,2026-05-20,8010,8038,7808,7817,7978900,7817
8766,2026-05-21,7800,7987,7623,7697,11696800,7697
8766,2026-05-22,7568,7610,7316,7381,7819300,7381
8766,2026-05-25,7465,7469,7306,7387,5595400,7387
8766,2026-05-26,7397,7432,7335,7356,4910100,7356
8766,2026-05-27,7367,7443,7322,7367,5245100,7367
8766,2026-05-28,7217,7324,7141,7189,6330700,7189
8766,2026-05-29,7116,7216,7075,7111,10833400,7111
8766,2026-06-01,7116,7162,7048,7108,6348000,7108
8766,2026-06-02,7059,7130,6976,7046,5323900,7046
8766,2026-06-03,7114,7167,7043,7098,4571900,7098
8766,2026-06-04,6961,7000,6891,6940,5719800,6940
8766,2026-06-05,6996,7068,6960,6996,5687500,6996
8766,2026-06-08,6955,7232,6952,7232,8411600,7232
8766,2026-06-09,7232,7433,7219,7410,7369000,7410
8766,2026-06-10,7493,7557,7368,7406,5719700,7406
8766,2026-06-11,7450,7487,7326,7404,6270700,7404
8766,2026-06-12,7348,7454,7310,7325,7968200,7325
8725,2026-05-15,4410,4437,4356,4391,3998500,4391
8725,2026-05-18,4449,4491,4401,4420,3963700,4420
8725,2026-05-19,4439,4536,4403,4503,5100200,4503
8725,2026-05-20,4507,4522,4356,4420,5183200,4420
8725,2026-05-21,4350,4475,4286,4350,6554700,4350
8725,2026-05-22,4299,4341,4182,4245,4505700,4245
8725,2026-05-25,4245,4245,4153,4216,3443400,4216
8725,2026-05-26,4205,4242,4156,4202,2884700,4202
8725,2026-05-27,4210,4295,4197,4290,4362800,4290
8725,2026-05-28,4222,4288,4219,4245,4163600,4245
8725,2026-05-29,4212,4333,4209,4287,21947600,4287
8725,2026-06-01,4275,4313,4254,4298,4770700,4298
8725,2026-06-02,4228,4298,4169,4266,4316300,4266
8725,2026-06-03,4311,4365,4294,4294,4192300,4294
8725,2026-06-04,4273,4284,4224,4247,3729600,4247
8725,2026-06-05,4350,4394,4299,4325,2749500,4325
8725,2026-06-08,4370,4402,4339,4402,4078900,4402
8725,2026-06-09,4419,4557,4413,4540,6083800,4540
8725,2026-06-10,4657,4706,4569,4597,4882400,4597
8725,2026-06-11,4578,4590,4516,4552,3444800,4552
8725,2026-06-12,4622,4676,4596,4597,5475200,4597
8801,2026-05-15,1490.5,1557.5,1489.5,1539.5,17988500,1539.5
8801,2026-05-18,1539.5,1565.5,1498,1498,15163200,1498
8801,2026-05-19,1520,1545,1512,1534,16575000,1534
8801,2026-05-20,1520,1531.5,1497,1508,14973800,1508
8801,2026-05-21,1539.5,1557,1520,1520,13420100,1520
8801,2026-05-22,1501,1503,1461.5,1480,16564400,1480
8801,2026-05-25,1510,1547.5,1500.5,1523,12823100,1523
8801,2026-05-26,1520.5,1558.5,1508,1544.5,14254900,1544.5
8801,2026-05-27,1537.5,1557.5,1530.5,1532,15297600,1532
8801,2026-05-28,1532,1539,1496.5,1505,8693900,1505
8801,2026-05-29,1519,1543,1498.5,1530.5,23942000,1530.5
8801,2026-06-01,1544,1546,1478.5,1478.5,13722800,1478.5
8801,2026-06-02,1477.5,1516,1455,1510.5,14964600,1510.5
8801,2026-06-03,1515,1520,1476.5,1478.5,8128100,1478.5
8801,2026-06-04,1478.5,1493.5,1450,1467.5,10006200,1467.5
8801,2026-06-05,1482,1506.5,1480,1495,8640800,1495
8801,2026-06-08,1470,1475.5,1443.5,1462.5,11385300,1462.5
8801,2026-06-09,1492.5,1499,1472.5,1487,10841900,1487
8801,2026-06-10,1529.5,1551,1505.5,1546.5,14131200,1546.5
8801,2026-06-11,1555,1597,1533.5,1538,18916700,1538
8801,2026-06-12,1564,1578.5,1548,1558,13173200,1558
8802,2026-05-15,4287,4338,4119,4137,5465100,4137
8802,2026-05-18,4083,4106,3964,3993,5531800,3993
8802,2026-05-19,4028,4087,3970,4013,4576700,4013
8802,2026-05-20,4013,4017,3906,3966,5367600,3966
8802,2026-05-21,4106,4144,4068,4110,4888600,4110
8802,2026-05-22,4117,4135,4014,4058,4046200,4058
8802,2026-05-25,4063,4142,4058,4094,2802400,4094
8802,2026-05-26,4145,4203,4089,4133,3380700,4133
8802,2026-05-27,4119,4140,4025,4041,3193100,4041
8802,2026-05-28,4023,4053,3993,4018,2926600,4018
8802,2026-05-29,4023,4113,3995,4056,11506900,4056
8802,2026-06-01,4005,4030,3911,3926,3583100,3926
